Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Four Banks - Barlow Moor Road (163)-Temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-NO2(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-O3(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-NO(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM1(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM2.5(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM10(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-Ambient temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Ambient humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-Ambient pressure(hPa)-slotB
"2021-03-01T00:00:54+00:00",1614556854,"2021-03-01T00:00:54+0000",6,77,39.43,9.01,6.21,27.79,41.48,51.96,6,79,1033.3
"2021-03-01T00:01:54+00:00",1614556914,"2021-03-01T00:01:54+0000",6,77,42.74,5.51,48.99,28.5,42.05,51.92,6,79,1033.3
"2021-03-01T00:02:54+00:00",1614556974,"2021-03-01T00:02:54+0000",6,77,42.95,7.71,42.77,27.79,41.29,52.46,6,79,1033.3
"2021-03-01T00:03:54+00:00",1614557034,"2021-03-01T00:03:54+0000",6,77,42.94,7.46,27.96,28.5,41.2,51.83,6,79,1033.3
"2021-03-01T00:04:54+00:00",1614557094,"2021-03-01T00:04:54+0000",6,77,46.71,11.61,12.9,28.5,40.54,49.5,5,79,1033.3
"2021-03-01T00:05:54+00:00",1614557154,"2021-03-01T00:05:54+0000",6,77,43.83,7.51,25.8,26.36,41.2,51.24,5,78,1033.3
"2021-03-01T00:06:54+00:00",1614557214,"2021-03-01T00:06:54+0000",6,77,40.5,6.51,18.16,24.23,37.91,49.5,5,78,1033.3
"2021-03-01T00:07:54+00:00",1614557274,"2021-03-01T00:07:54+0000",6,78,37.23,8.26,8.86,27.08,40.45,50.62,5,79,1033.3
"2021-03-01T00:08:54+00:00",1614557334,"2021-03-01T00:08:54+0000",6,78,35.01,7.26,5.54,26.36,40.45,47.71,5,78,1033.3
"2021-03-01T00:09:54+00:00",1614557394,"2021-03-01T00:09:54+0000",6,78,34.28,8.66,0,26.36,39.14,48.29,5,78,1033.3
"2021-03-01T00:10:54+00:00",1614557454,"2021-03-01T00:10:54+0000",6,78,37.67,9.91,44.65,25.65,36.51,44.79,5,79,1033.3
"2021-03-01T00:11:54+00:00",1614557514,"2021-03-01T00:11:54+0000",6,78,38.56,6.71,17.39,28.5,40.45,47.71,5,79,1033.3
"2021-03-01T00:12:54+00:00",1614557574,"2021-03-01T00:12:54+0000",6,78,42.54,6.31,79.49,26.36,41.66,52.9,5,79,1033.3
"2021-03-01T00:13:54+00:00",1614557634,"2021-03-01T00:13:54+0000",6,78,39.66,5.96,39.43,28.5,40.35,51.15,5,79,1033.3
"2021-03-01T00:14:54+00:00",1614557694,"2021-03-01T00:14:54+0000",6,78,37.22,6.51,15.73,26.36,36.43,43.01,5,79,1033.3
"2021-03-01T00:15:54+00:00",1614557754,"2021-03-01T00:15:54+0000",6,78,36.12,6.76,0,26.36,38.48,47.71,5,79,1033.3
"2021-03-01T00:16:54+00:00",1614557814,"2021-03-01T00:16:54+0000",6,78,37.88,9.11,2.7,27.08,42.97,53.48,5,79,1033.3
"2021-03-01T00:17:54+00:00",1614557874,"2021-03-01T00:17:54+0000",6,78,39.43,7.01,31.38,27.79,42.97,53.48,5,79,1033.3
"2021-03-01T00:18:54+00:00",1614557934,"2021-03-01T00:18:54+0000",6,78,72.02,28.91,229.98,27.08,40.91,48.79,5,79,1033.3
"2021-03-01T00:19:54+00:00",1614557994,"2021-03-01T00:19:54+0000",6,78,47.84,7.61,43.23,27.79,40.82,51.07,5,79,1033.3
"2021-03-01T00:20:54+00:00",1614558054,"2021-03-01T00:20:54+0000",6,78,43.18,7.91,20.95,21.38,34.95,43.52,5,79,1033.3
"2021-03-01T00:21:54+00:00",1614558114,"2021-03-01T00:21:54+0000",6,78,38.97,10.36,11.47,28.5,41.47,52.23,5,79,1033.3
"2021-03-01T00:22:54+00:00",1614558174,"2021-03-01T00:22:54+0000",6,78,37.18,13.51,7.44,25.65,36.82,46.38,5,79,1033.3
"2021-03-01T00:23:54+00:00",1614558234,"2021-03-01T00:23:54+0000",6,78,34.76,13.06,4.36,28.5,42.12,52.23,5,79,1033.2
"2021-03-01T00:24:54+00:00",1614558294,"2021-03-01T00:24:54+0000",6,78,33.85,14.51,1.75,25.65,40.63,52.71,5,79,1033.2
"2021-03-01T00:25:54+00:00",1614558354,"2021-03-01T00:25:54+0000",6,78,35.46,13.41,10.3,24.94,39.33,49.24,5,79,1033.2
"2021-03-01T00:26:54+00:00",1614558414,"2021-03-01T00:26:54+0000",6,78,34.57,12.11,7.71,27.79,41.83,50.35,5,79,1033.2
"2021-03-01T00:27:54+00:00",1614558474,"2021-03-01T00:27:54+0000",6,78,36.56,12.41,17.58,27.79,41.18,52.09,5,79,1033.2
"2021-03-01T00:28:54+00:00",1614558534,"2021-03-01T00:28:54+0000",6,78,35.88,13.56,21.11,28.5,41.74,49.15,5,79,1033.2
"2021-03-01T00:29:54+00:00",1614558594,"2021-03-01T00:29:54+0000",6,78,39.22,14.81,46.02,27.79,40.54,50.93,5,79,1033.2
"2021-03-01T00:30:54+00:00",1614558654,"2021-03-01T00:30:54+0000",6,78,35.44,17.66,15.23,29.21,43.68,52.04,5,79,1033.2
"2021-03-01T00:31:54+00:00",1614558714,"2021-03-01T00:31:54+0000",6,78,35.43,13.91,11.94,24.23,37.11,45.07,5,79,1033.2
"2021-03-01T00:32:54+00:00",1614558774,"2021-03-01T00:32:54+0000",6,78,33.89,15.01,0,27.79,41.74,50.89,5,79,1033.2
"2021-03-01T00:33:54+00:00",1614558834,"2021-03-01T00:33:54+0000",6,78,38.09,13.31,23.93,26.36,39.7,49.11,5,79,1033.2
"2021-03-01T00:34:54+00:00",1614558894,"2021-03-01T00:34:54+0000",6,78,36.32,11.71,19.93,27.08,39.7,47.96,5,79,1033.2
"2021-03-01T00:35:54+00:00",1614558954,"2021-03-01T00:35:54+0000",6,78,34.75,16.56,12.41,28.5,41.54,52.53,5,79,1033.2
"2021-03-01T00:36:54+00:00",1614559014,"2021-03-01T00:36:54+0000",6,78,33.42,16.61,13.59,27.08,40.9,50.22,5,79,1033.2
"2021-03-01T00:37:54+00:00",1614559074,"2021-03-01T00:37:54+0000",6,78,36.75,13.61,26.28,28.5,43.48,50.22,5,79,1033.2
"2021-03-01T00:38:54+00:00",1614559134,"2021-03-01T00:38:54+0000",6,78,34.31,13.41,10.53,27.79,38.32,47.91,5,79,1033.2
"2021-03-01T00:39:54+00:00",1614559194,"2021-03-01T00:39:54+0000",6,78,32.76,14.76,10.06,27.08,38.96,47.91,5,79,1033.1
"2021-03-01T00:40:54+00:00",1614559254,"2021-03-01T00:40:54+0000",6,78,28.1,18.31,1.37,26.36,40.25,49.07,5,79,1033.1
"2021-03-01T00:41:54+00:00",1614559314,"2021-03-01T00:41:54+0000",6,78,26.33,20.71,3.25,26.36,39.61,48.49,5,79,1033.1
"2021-03-01T00:42:54+00:00",1614559374,"2021-03-01T00:42:54+0000",6,78,27.44,19.21,8.65,27.79,41.54,51.95,5,79,1033.1
"2021-03-01T00:43:54+00:00",1614559434,"2021-03-01T00:43:54+0000",6,79,25.43,19.41,2.31,28.5,47.25,55.36,5,79,1033.1
"2021-03-01T00:44:54+00:00",1614559494,"2021-03-01T00:44:54+0000",6,79,26.54,18.66,10.53,27.79,40.8,51.33,5,79,1033.1
"2021-03-01T00:45:54+00:00",1614559554,"2021-03-01T00:45:54+0000",6,79,25.13,20.46,5.54,29.21,41.99,53.01,5,79,1033.1
"2021-03-01T00:46:54+00:00",1614559614,"2021-03-01T00:46:54+0000",6,79,26.3,15.96,0,27.08,38.78,46.1,5,79,1033
"2021-03-01T00:47:54+00:00",1614559674,"2021-03-01T00:47:54+0000",6,79,24.52,15.11,0,25.65,37.4,49.51,5,79,1033
"2021-03-01T00:48:54+00:00",1614559734,"2021-03-01T00:48:54+0000",6,79,25.41,12.41,0,24.23,37.4,47.21,5,79,1033
"2021-03-01T00:49:54+00:00",1614559794,"2021-03-01T00:49:54+0000",6,79,29.77,10.16,20.24,27.08,37.95,49.47,5,79,1033
"2021-03-01T00:50:54+00:00",1614559854,"2021-03-01T00:50:54+0000",6,79,26,12.51,7.91,24.94,39.23,48.9,5,79,1033
"2021-03-01T00:52:51+00:00",1614559971,"2021-03-01T00:52:51+0000",6,79,27.86,5.86,10.06,27.08,40.06,53.01,5,79,1033
"2021-03-01T00:53:51+00:00",1614560031,"2021-03-01T00:53:51+0000",6,79,28.3,8.76,6.07,27.08,39.42,50.13,5,79,1033
"2021-03-01T00:54:51+00:00",1614560091,"2021-03-01T00:54:51+0000",6,79,23.66,13.06,1.37,26.36,38.23,48.45,5,79,1033
"2021-03-01T00:55:51+00:00",1614560151,"2021-03-01T00:55:51+0000",6,78,23.44,15.61,0,24.94,37.03,46.18,5,79,1033
"2021-03-01T00:56:51+00:00",1614560211,"2021-03-01T00:56:51+0000",6,78,24.78,14.56,0,26.36,39.61,51.38,5,79,1033
"2021-03-01T00:57:51+00:00",1614560271,"2021-03-01T00:57:51+0000",6,79,24.54,11.11,0,27.08,38.87,48.45,5,79,1033
"2021-03-01T00:58:51+00:00",1614560331,"2021-03-01T00:58:51+0000",6,79,24.99,12.01,0,27.08,40.16,52.48,5,79,1033
"2021-03-01T00:59:51+00:00",1614560391,"2021-03-01T00:59:51+0000",6,79,25.21,13.96,0,27.08,39.51,50.18,5,79,1033
"2021-03-01T01:00:51+00:00",1614560451,"2021-03-01T01:00:51+0000",6,79,24.54,13.86,3.48,27.79,39.51,48.45,5,79,1032.9
"2021-03-01T01:01:51+00:00",1614560511,"2021-03-01T01:01:51+0000",6,79,24.1,12.21,3.48,24.23,36.29,45.57,5,79,1032.9
"2021-03-01T01:02:51+00:00",1614560571,"2021-03-01T01:02:51+0000",6,79,23.87,12.51,0,24.23,34.92,43.8,5,79,1032.9
"2021-03-01T01:03:51+00:00",1614560631,"2021-03-01T01:03:51+0000",6,79,24.53,11.11,4.19,27.08,40.06,49.56,5,79,1032.9
