Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Four Banks - Barlow Moor Road (163)-Temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-NO2(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-O3(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-NO(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM1(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM2.5(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM10(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-Ambient temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Ambient humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-Ambient pressure(hPa)-slotB
"2021-03-21T23:00:36+00:00",1616367636,"2021-03-21T23:00:36+0000",7,71,18.82,40.81,0,2.85,7.83,8.15,7,72,1026.3
"2021-03-21T23:01:36+00:00",1616367696,"2021-03-21T23:01:36+0000",7,71,27.69,29.81,18.51,3.56,7.83,8.77,7,72,1026.3
"2021-03-21T23:02:36+00:00",1616367756,"2021-03-21T23:02:36+0000",7,71,29.68,27.86,17.69,3.56,8.52,8.52,7,72,1026.3
"2021-03-21T23:03:36+00:00",1616367816,"2021-03-21T23:03:36+0000",7,71,20.81,37.11,0,2.85,5.61,6.91,7,72,1026.3
"2021-03-21T23:04:36+00:00",1616367876,"2021-03-21T23:04:36+0000",7,71,25.01,32.41,2.95,4.28,7.76,8.15,7,72,1026.3
"2021-03-21T23:05:36+00:00",1616367936,"2021-03-21T23:05:36+0000",7,71,19.69,40.36,0,4.99,8.49,9.39,7,72,1026.3
"2021-03-21T23:06:36+00:00",1616367996,"2021-03-21T23:06:36+0000",7,71,19.68,38.86,1.86,4.99,9.18,9.18,7,72,1026.3
"2021-03-21T23:07:36+00:00",1616368056,"2021-03-21T23:07:36+0000",7,71,18.35,42.41,0,2.14,5.55,6.91,7,72,1026.3
"2021-03-21T23:08:36+00:00",1616368116,"2021-03-21T23:08:36+0000",7,71,19.45,37.66,4.86,2.14,5.55,6.91,7,72,1026.3
"2021-03-21T23:09:36+00:00",1616368176,"2021-03-21T23:09:36+0000",7,71,27.65,33.56,13.6,3.56,7.69,8.15,7,72,1026.3
"2021-03-21T23:10:36+00:00",1616368236,"2021-03-21T23:10:36+0000",7,71,20.77,39.86,0,2.85,6.97,7.53,7,72,1026.3
"2021-03-21T23:11:36+00:00",1616368296,"2021-03-21T23:11:36+0000",7,71,20.12,35.51,0,4.28,8.45,8.77,7,72,1026.2
"2021-03-21T23:12:36+00:00",1616368356,"2021-03-21T23:12:36+0000",7,71,21.22,35.76,4.04,3.56,9.14,10.62,7,73,1026.2
"2021-03-21T23:13:36+00:00",1616368416,"2021-03-21T23:13:36+0000",7,71,21,35.31,0,3.56,7.69,8.15,7,73,1026.2
"2021-03-21T23:14:36+00:00",1616368476,"2021-03-21T23:14:36+0000",7,71,30.75,22.61,35.71,3.56,9.14,9.14,7,73,1026.2
"2021-03-21T23:15:36+00:00",1616368536,"2021-03-21T23:15:36+0000",7,71,48.05,15.96,160.2,4.28,7.69,8.15,7,73,1026.2
"2021-03-21T23:16:36+00:00",1616368596,"2021-03-21T23:16:36+0000",7,71,24.76,32.96,8.41,3.56,8.42,8.42,7,73,1026.2
"2021-03-21T23:17:36+00:00",1616368656,"2021-03-21T23:17:36+0000",7,72,19.65,35.36,0,3.56,8.39,8.77,7,73,1026.2
"2021-03-21T23:18:36+00:00",1616368716,"2021-03-21T23:18:36+0000",7,72,18.54,37.61,0,3.56,7.66,8.15,7,73,1026.2
"2021-03-21T23:19:36+00:00",1616368776,"2021-03-21T23:19:36+0000",7,72,17.88,40.76,5.14,5.7,11.28,11.28,7,73,1026.2
"2021-03-21T23:20:36+00:00",1616368836,"2021-03-21T23:20:36+0000",7,72,15.44,42.31,0,3.56,8.39,8.39,7,73,1026.2
"2021-03-21T23:21:36+00:00",1616368896,"2021-03-21T23:21:36+0000",7,72,17.44,39.61,0,4.99,9.83,11.24,7,73,1026.2
"2021-03-21T23:22:36+00:00",1616368956,"2021-03-21T23:22:36+0000",7,72,18.1,39.71,0,3.56,8.39,8.39,7,73,1026.1
"2021-03-21T23:23:36+00:00",1616369016,"2021-03-21T23:23:36+0000",7,72,15.88,40.71,0,3.56,7.66,8.77,7,73,1026.2
"2021-03-21T23:24:36+00:00",1616369076,"2021-03-21T23:24:36+0000",7,72,17.44,38.36,0,2.85,6.21,8.15,7,73,1026.2
"2021-03-21T23:25:36+00:00",1616369136,"2021-03-21T23:25:36+0000",7,72,16.33,38.61,0,4.28,7.66,7.66,7,73,1026.2
"2021-03-21T23:26:36+00:00",1616369196,"2021-03-21T23:26:36+0000",7,72,15.44,41.31,0,4.99,9.83,9.83,7,73,1026.2
"2021-03-21T23:27:36+00:00",1616369256,"2021-03-21T23:27:36+0000",7,72,15.22,40.86,0,3.56,8.39,9.38,7,73,1026.2
"2021-03-21T23:28:36+00:00",1616369316,"2021-03-21T23:28:36+0000",7,72,14.32,39.06,0,3.56,8.35,8.76,7,73,1026.2
"2021-03-21T23:29:36+00:00",1616369376,"2021-03-21T23:29:36+0000",7,72,17.49,35.11,7.9,5.7,9.07,10.62,7,73,1026.2
"2021-03-21T23:30:36+00:00",1616369436,"2021-03-21T23:30:36+0000",7,72,26.74,25.01,93.59,4.99,9.07,9.38,7,73,1026.2
"2021-03-21T23:31:36+00:00",1616369496,"2021-03-21T23:31:36+0000",7,72,17.87,36.01,0,5.7,10.52,10.52,7,73,1026.2
"2021-03-21T23:32:36+00:00",1616369556,"2021-03-21T23:32:36+0000",7,72,14.99,40.66,0,4.99,9.8,9.8,7,73,1026.2
"2021-03-21T23:33:36+00:00",1616369616,"2021-03-21T23:33:36+0000",7,72,13.94,45.16,0,3.56,7.63,8.15,7,73,1026.2
"2021-03-21T23:34:36+00:00",1616369676,"2021-03-21T23:34:36+0000",7,72,14.61,42.51,0,3.56,9.07,9.38,7,73,1026.2
"2021-03-21T23:35:36+00:00",1616369736,"2021-03-21T23:35:36+0000",7,72,19.04,34.26,0,2.14,6.91,7.53,7,73,1026.2
"2021-03-21T23:36:36+00:00",1616369796,"2021-03-21T23:36:36+0000",7,72,16.08,37.91,0,4.28,9.76,10.61,7,73,1026.2
"2021-03-21T23:37:36+00:00",1616369856,"2021-03-21T23:37:36+0000",7,72,14.61,45.76,0,5.7,9.8,11.23,7,73,1026.3
"2021-03-21T23:38:36+00:00",1616369916,"2021-03-21T23:38:36+0000",7,72,15.93,40.96,10.61,3.56,6.87,7.53,7,73,1026.3
"2021-03-21T23:39:36+00:00",1616369976,"2021-03-21T23:39:36+0000",7,72,17.7,36.81,5.46,4.99,7.6,8.15,7,73,1026.2
"2021-03-21T23:40:36+00:00",1616370036,"2021-03-21T23:40:36+0000",7,72,15.04,40.66,0,4.28,9.04,9.38,7,73,1026.2
"2021-03-21T23:41:36+00:00",1616370096,"2021-03-21T23:41:36+0000",7,72,17.04,37.96,0,3.56,8.32,8.32,7,73,1026.2
"2021-03-21T23:42:36+00:00",1616370156,"2021-03-21T23:42:36+0000",7,72,15.7,40.01,0,1.43,3.99,5.06,7,73,1026.2
"2021-03-21T23:43:36+00:00",1616370216,"2021-03-21T23:43:36+0000",7,72,14.82,39.96,0,4.99,10.48,11.85,7,73,1026.2
"2021-03-21T23:44:36+00:00",1616370276,"2021-03-21T23:44:36+0000",7,72,14.6,41.26,0,3.56,9.04,9.04,7,73,1026.2
"2021-03-21T23:45:36+00:00",1616370336,"2021-03-21T23:45:36+0000",7,72,16.6,38.06,0,3.56,6.91,6.91,7,73,1026.2
"2021-03-21T23:46:36+00:00",1616370396,"2021-03-21T23:46:36+0000",7,72,15.93,40.21,0,4.99,9.76,11.23,7,73,1026.2
"2021-03-21T23:47:36+00:00",1616370456,"2021-03-21T23:47:36+0000",7,72,20.58,32.66,0,5.7,9.04,9.38,7,73,1026.2
"2021-03-21T23:48:36+00:00",1616370516,"2021-03-21T23:48:36+0000",7,72,17.04,38.71,0.58,3.56,9.76,10,7,73,1026.2
"2021-03-21T23:49:36+00:00",1616370576,"2021-03-21T23:49:36+0000",7,72,13.94,40.66,0,5.7,9.8,10.62,7,73,1026.2
"2021-03-21T23:50:36+00:00",1616370636,"2021-03-21T23:50:36+0000",7,72,16.15,38.41,0,3.56,8.32,8.32,7,73,1026.2
