Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Four Banks - Barlow Moor Road (163)-Temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-NO2(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-O3(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-NO(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM1(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM2.5(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM10(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-Ambient temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Ambient humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-Ambient pressure(hPa)-slotB
"2021-04-04T23:00:11+00:00",1617577211,"2021-04-05T00:00:11+0100",10,67,8.26,63.66,0,1.43,6.81,6.81,10,69,1014.1
"2021-04-04T23:01:11+00:00",1617577271,"2021-04-05T00:01:11+0100",10,67,9.21,67.71,2.3,2.85,8.33,8.33,10,69,1014.1
"2021-04-04T23:02:11+00:00",1617577331,"2021-04-05T00:02:11+0100",10,67,8.53,65.86,0,2.85,8.3,8.3,10,69,1014.1
"2021-04-04T23:03:11+00:00",1617577391,"2021-04-05T00:03:11+0100",10,67,10.45,60.41,0,3.56,7.49,7.53,10,69,1014
"2021-04-04T23:04:11+00:00",1617577451,"2021-04-05T00:04:11+0100",10,67,9.84,67.81,0,2.85,8.24,8.24,10,69,1014
"2021-04-04T23:05:11+00:00",1617577511,"2021-04-05T00:05:11+0100",10,67,8.53,67.86,0,0.71,3.66,3.66,10,69,1014
"2021-04-04T23:06:11+00:00",1617577571,"2021-04-05T00:06:11+0100",10,67,8.75,69.31,0,2.14,7.53,7.53,10,69,1013.9
"2021-04-04T23:07:11+00:00",1617577631,"2021-04-05T00:07:11+0100",10,67,8.73,72.06,0,1.43,7.46,7.46,10,69,1013.9
"2021-04-04T23:08:11+00:00",1617577691,"2021-04-05T00:08:11+0100",10,67,9.17,68.96,0,2.14,6.69,6.69,10,69,1013.8
"2021-04-04T23:09:11+00:00",1617577751,"2021-04-05T00:09:11+0100",10,68,9.38,61.91,0,2.14,7.43,7.43,10,69,1013.8
"2021-04-04T23:10:11+00:00",1617577811,"2021-04-05T00:10:11+0100",10,68,9.83,62.56,0,1.43,6.66,6.66,10,69,1013.7
"2021-04-04T23:11:11+00:00",1617577871,"2021-04-05T00:11:11+0100",10,68,9.15,67.46,0,2.85,7.4,7.4,10,69,1013.7
"2021-04-04T23:13:06+00:00",1617577986,"2021-04-05T00:13:06+0100",10,68,9.38,62.66,0,2.14,7.43,7.43,10,69,1013.7
"2021-04-04T23:14:06+00:00",1617578046,"2021-04-05T00:14:06+0100",10,67,9.62,63.11,0,2.14,8.24,8.24,10,69,1013.7
"2021-04-04T23:15:06+00:00",1617578106,"2021-04-05T00:15:06+0100",10,68,8.5,64.86,0,2.14,6.66,6.66,10,69,1013.6
"2021-04-04T23:16:06+00:00",1617578166,"2021-04-05T00:16:06+0100",10,68,9.81,70.81,0,2.14,7.4,7.53,10,69,1013.6
"2021-04-04T23:17:06+00:00",1617578226,"2021-04-05T00:17:06+0100",10,68,9.58,66.61,0,0.71,5.84,5.84,10,69,1013.6
"2021-04-04T23:18:06+00:00",1617578286,"2021-04-05T00:18:06+0100",10,68,10.01,69.01,0,1.43,7.34,7.34,10,69,1013.6
"2021-04-04T23:19:06+00:00",1617578346,"2021-04-05T00:19:06+0100",10,68,8.46,72.11,0,2.14,6.58,6.58,10,69,1013.7
"2021-04-04T23:20:06+00:00",1617578406,"2021-04-05T00:20:06+0100",10,68,8.44,70.11,0,2.85,7.28,7.53,10,69,1013.6
"2021-04-04T23:21:06+00:00",1617578466,"2021-04-05T00:21:06+0100",10,68,8.44,69.86,0,2.14,8.05,8.05,10,69,1013.6
"2021-04-04T23:22:06+00:00",1617578526,"2021-04-05T00:22:06+0100",10,68,8.44,69.61,0,1.43,4.99,5.61,10,69,1013.6
"2021-04-04T23:23:06+00:00",1617578586,"2021-04-05T00:23:06+0100",10,68,8.43,71.86,0,2.14,7.25,8.17,10,70,1013.6
"2021-04-04T23:24:06+00:00",1617578646,"2021-04-05T00:24:06+0100",10,68,9.54,70.36,0,2.14,5.72,5.72,10,70,1013.6
"2021-04-04T23:25:06+00:00",1617578706,"2021-04-05T00:25:06+0100",10,68,8.93,72.26,0,2.14,6.46,6.46,10,70,1013.6
"2021-04-04T23:26:06+00:00",1617578766,"2021-04-05T00:26:06+0100",10,68,8.93,69.01,0,2.14,6.46,6.46,10,70,1013.5
"2021-04-04T23:27:06+00:00",1617578826,"2021-04-05T00:27:06+0100",10,68,8.86,64.26,0,1.43,4.93,5.62,10,70,1013.5
"2021-04-04T23:28:06+00:00",1617578886,"2021-04-05T00:28:06+0100",10,68,8.93,64.26,0,2.14,7.22,7.22,10,70,1013.5
"2021-04-04T23:29:06+00:00",1617578946,"2021-04-05T00:29:06+0100",10,68,8.47,66.11,0,1.43,4.91,4.98,10,70,1013.4
"2021-04-04T23:30:06+00:00",1617579006,"2021-04-05T00:30:06+0100",10,68,8.39,74.36,0,0.71,4.88,4.88,10,70,1013.4
"2021-04-04T23:31:06+00:00",1617579066,"2021-04-05T00:31:06+0100",10,68,7.29,66.86,4.56,0.71,4.12,4.35,10,70,1013.3
"2021-04-04T23:32:06+00:00",1617579126,"2021-04-05T00:32:06+0100",10,69,8.01,74.71,0,2.14,7.13,7.13,10,70,1013.3
"2021-04-04T23:33:06+00:00",1617579186,"2021-04-05T00:33:06+0100",10,68,8.02,69.96,0,2.14,6.4,6.4,10,70,1013.3
"2021-04-04T23:34:06+00:00",1617579246,"2021-04-05T00:34:06+0100",10,69,8.45,68.11,0,0.71,4.09,4.09,10,70,1013.3
"2021-04-04T23:35:06+00:00",1617579306,"2021-04-05T00:35:06+0100",10,69,8.01,71.46,0,2.85,7.89,7.89,10,70,1013.3
"2021-04-04T23:36:06+00:00",1617579366,"2021-04-05T00:36:06+0100",10,69,8.22,72.16,0,2.85,6.34,6.34,10,70,1013.3
"2021-04-04T23:37:06+00:00",1617579426,"2021-04-05T00:37:06+0100",10,69,7.56,70.31,0,1.43,5.61,5.61,10,70,1013.3
"2021-04-04T23:38:06+00:00",1617579486,"2021-04-05T00:38:06+0100",10,68,7.57,66.06,3.96,2.85,6.4,6.89,10,70,1013.3
"2021-04-04T23:39:06+00:00",1617579546,"2021-04-05T00:39:06+0100",10,68,8.02,67.21,0.43,1.43,4.88,5.62,10,70,1013.3
"2021-04-04T23:40:06+00:00",1617579606,"2021-04-05T00:40:06+0100",10,69,8.67,72.06,0,2.14,6.37,6.37,10,70,1013.3
"2021-04-04T23:41:06+00:00",1617579666,"2021-04-05T00:41:06+0100",10,69,8.22,72.16,0,2.14,5.58,5.58,10,70,1013.3
"2021-04-04T23:42:06+00:00",1617579726,"2021-04-05T00:42:06+0100",10,69,7.77,68.51,0,1.43,5.58,6.26,10,70,1013.3
"2021-04-04T23:43:06+00:00",1617579786,"2021-04-05T00:43:06+0100",10,69,8.66,68.56,0,1.43,6.34,6.34,10,70,1013.3
"2021-04-04T23:44:06+00:00",1617579846,"2021-04-05T00:44:06+0100",10,69,7.98,69.46,0,2.14,5.55,5.63,10,70,1013.3
"2021-04-04T23:45:06+00:00",1617579906,"2021-04-05T00:45:06+0100",10,69,8.43,70.61,0,2.14,5.55,5.63,10,70,1013.2
"2021-04-04T23:46:06+00:00",1617579966,"2021-04-05T00:46:06+0100",10,69,8.42,70.11,0,1.43,5.53,5.53,10,70,1013.2
"2021-04-04T23:47:06+00:00",1617580026,"2021-04-05T00:47:06+0100",10,69,8.85,71.76,0,2.14,5.5,5.5,10,70,1013.2
"2021-04-04T23:48:06+00:00",1617580086,"2021-04-05T00:48:06+0100",10,69,8.85,70.51,0,2.14,7.01,7.01,10,70,1013.2
