Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Four Banks - Barlow Moor Road (163)-Temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-NO2(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-O3(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-NO(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM1(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM2.5(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM10(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-Ambient temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Ambient humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-Ambient pressure(hPa)-slotB
"2021-02-15T00:01:17+00:00",1613347277,"2021-02-15T00:01:17+0000",8,84,11.57,48.11,0,12.83,14.77,20.08,7,83,1012.1
"2021-02-15T00:02:17+00:00",1613347337,"2021-02-15T00:02:17+0000",7,84,10.31,41.91,0,14.96,16.53,21.71,7,83,1012.1
"2021-02-15T00:03:17+00:00",1613347397,"2021-02-15T00:03:17+0000",7,84,11.18,46.96,4.04,12.83,13.55,18.97,7,83,1012.1
"2021-02-15T00:04:17+00:00",1613347457,"2021-02-15T00:04:17+0000",8,84,10.46,44.86,3.44,12.11,13.02,18.44,7,83,1012
"2021-02-15T00:05:17+00:00",1613347517,"2021-02-15T00:05:17+0000",8,84,10.46,47.86,0,14.25,14.25,17.35,7,83,1012.1
"2021-02-15T00:06:17+00:00",1613347577,"2021-02-15T00:06:17+0000",8,84,12.25,52.21,9.49,14.96,16.59,20.09,7,84,1012
"2021-02-15T00:07:17+00:00",1613347637,"2021-02-15T00:07:17+0000",8,84,9.8,42.76,4.26,12.11,12.11,15.71,7,83,1012.1
"2021-02-15T00:08:17+00:00",1613347697,"2021-02-15T00:08:17+0000",8,84,10.46,44.86,0,12.83,15.94,20.08,7,83,1012
"2021-02-15T00:09:17+00:00",1613347757,"2021-02-15T00:09:17+0000",8,84,9.8,49.01,0,12.83,16.53,20.08,7,83,1012
"2021-02-15T00:10:17+00:00",1613347817,"2021-02-15T00:10:17+0000",8,84,10.03,46.96,0,12.11,12.48,16.81,7,83,1012
"2021-02-15T00:11:17+00:00",1613347877,"2021-02-15T00:11:17+0000",8,84,10.26,49.16,0,11.4,11.95,15.18,7,83,1012
"2021-02-15T00:12:17+00:00",1613347937,"2021-02-15T00:12:17+0000",8,84,10.47,46.36,0,12.83,14.83,19,7,83,1012
"2021-02-15T00:13:17+00:00",1613347997,"2021-02-15T00:13:17+0000",8,84,13.15,45.01,0,12.83,13.71,18.46,7,83,1012
"2021-02-15T00:14:17+00:00",1613348057,"2021-02-15T00:14:17+0000",8,83,10.51,45.61,1.79,12.11,14.4,19.04,7,83,1012
"2021-02-15T00:15:17+00:00",1613348117,"2021-02-15T00:15:17+0000",8,83,11.18,48.96,1.24,9.26,11.5,15.76,7,83,1012
"2021-02-15T00:16:17+00:00",1613348177,"2021-02-15T00:16:17+0000",8,83,10.08,41.71,0,9.98,10.91,14.66,7,83,1012
"2021-02-15T00:17:17+00:00",1613348237,"2021-02-15T00:17:17+0000",8,83,10.3,46.41,1.24,13.54,15.05,17.95,7,83,1012
"2021-02-15T00:18:17+00:00",1613348297,"2021-02-15T00:18:17+0000",8,83,9.61,45.81,3.16,12.11,16.11,19.57,7,83,1012
"2021-02-15T00:19:17+00:00",1613348357,"2021-02-15T00:19:17+0000",8,83,9.79,47.76,0,12.11,13.86,20.14,7,83,1012
"2021-02-15T00:20:17+00:00",1613348417,"2021-02-15T00:20:17+0000",8,83,10.47,49.36,0,12.83,15.69,20.16,7,83,1012
"2021-02-15T00:21:17+00:00",1613348477,"2021-02-15T00:21:17+0000",8,83,10.02,50.96,1.44,11.4,13.32,18.51,7,83,1012
"2021-02-15T00:22:17+00:00",1613348537,"2021-02-15T00:22:17+0000",8,83,10.01,45.46,0,12.83,15.05,20.14,7,83,1012
"2021-02-15T00:23:17+00:00",1613348597,"2021-02-15T00:23:17+0000",8,83,10.23,47.16,0,10.69,10.69,13.02,7,83,1012
"2021-02-15T00:24:17+00:00",1613348657,"2021-02-15T00:24:17+0000",8,83,9.11,43.16,0,12.11,14.4,18.49,7,83,1012
"2021-02-15T00:25:17+00:00",1613348717,"2021-02-15T00:25:17+0000",8,83,9.1,48.16,0,12.83,13.76,17.93,7,83,1012
"2021-02-15T00:26:17+00:00",1613348777,"2021-02-15T00:26:17+0000",8,83,9.99,45.46,0,12.83,15.53,21.76,7,83,1012
"2021-02-15T00:27:17+00:00",1613348837,"2021-02-15T00:27:17+0000",8,84,9.52,42.81,1.71,12.11,13.07,18.45,7,83,1012.1
"2021-02-15T00:28:17+00:00",1613348897,"2021-02-15T00:28:17+0000",8,84,10.19,44.91,9.19,11.4,12.48,16.27,7,83,1012.1
"2021-02-15T00:29:17+00:00",1613348957,"2021-02-15T00:29:17+0000",8,84,9.97,39.46,6.7,12.83,18.34,21.18,7,83,1012.1
"2021-02-15T00:30:17+00:00",1613349017,"2021-02-15T00:30:17+0000",8,84,17.07,41.36,11.41,12.83,13.71,18.46,7,83,1012.1
"2021-02-15T00:31:17+00:00",1613349077,"2021-02-15T00:31:17+0000",8,83,14.66,41.66,2.82,13.54,16.17,19.58,7,83,1012.1
"2021-02-15T00:32:17+00:00",1613349137,"2021-02-15T00:32:17+0000",8,83,17.1,37.61,15.84,14.25,16.76,19.58,7,83,1012.1
"2021-02-15T00:33:17+00:00",1613349197,"2021-02-15T00:33:17+0000",8,83,14.22,43.01,0.33,11.4,13.86,19.05,7,83,1012
"2021-02-15T00:34:17+00:00",1613349257,"2021-02-15T00:34:17+0000",8,83,11.33,43.16,5.04,10.69,13.81,18.49,7,83,1012
"2021-02-15T00:35:17+00:00",1613349317,"2021-02-15T00:35:17+0000",8,83,14,43.81,4.76,11.4,12.09,15.21,7,83,1012.1
"2021-02-15T00:36:17+00:00",1613349377,"2021-02-15T00:36:17+0000",8,83,11.57,46.61,9.75,11.4,12.73,16.86,7,83,1012.1
"2021-02-15T00:37:17+00:00",1613349437,"2021-02-15T00:37:17+0000",8,83,10.47,45.86,0,12.83,15.69,19.06,7,83,1012
"2021-02-15T00:39:10+00:00",1613349550,"2021-02-15T00:39:10+0000",8,83,10.82,46.51,0.8,11.4,14.4,19.58,7,83,1012
"2021-02-15T00:40:10+00:00",1613349610,"2021-02-15T00:40:10+0000",8,83,10.88,43.76,0,11.4,15.53,19.57,7,83,1012
"2021-02-15T00:41:10+00:00",1613349670,"2021-02-15T00:41:10+0000",8,83,12.81,41.56,15.31,11.4,14.35,19.57,7,83,1012
"2021-02-15T00:42:10+00:00",1613349730,"2021-02-15T00:42:10+0000",8,83,10.81,44.26,0,10.69,13.76,16.83,7,83,1012
"2021-02-15T00:43:10+00:00",1613349790,"2021-02-15T00:43:10+0000",8,83,11.48,44.11,0,12.11,14.35,17.93,8,83,1012.1
"2021-02-15T00:44:10+00:00",1613349850,"2021-02-15T00:44:10+0000",8,83,9.93,46.96,2.2,12.11,13.22,18.49,8,83,1012.1
"2021-02-15T00:45:10+00:00",1613349910,"2021-02-15T00:45:10+0000",8,84,9.69,42.76,2.2,10.69,12.53,16.82,8,83,1012
"2021-02-15T00:46:10+00:00",1613349970,"2021-02-15T00:46:10+0000",8,83,10.81,42.76,1.08,12.83,14.94,18.48,8,83,1012.1
"2021-02-15T00:47:10+00:00",1613350030,"2021-02-15T00:47:10+0000",8,83,11.48,40.36,3.32,12.83,16.11,20.12,8,83,1012.1
"2021-02-15T00:48:10+00:00",1613350090,"2021-02-15T00:48:10+0000",8,84,12.13,40.71,10.57,12.83,13.12,19.01,8,83,1012
