Database Parties,LAD,,ECRef,RegulatedEntityName,RegulatedEntityTypeName,RegistrationStatusName,RegisterName,ApprovedDate
Merton Park Ward Independent Residents,Merton,E09000024,PP202,Merton Park Ward Independent Residents,Political Party,Registered,Great Britain,04/10/01
Middlesbrough Independent Councillors Association,Middlesbrough,E06000002,,,,,,
Beare Green Independent,Mole Valley,E07000210,,,,,,
Borough Independent Group,Newcastle-under-Lyme,E07000195,,,,,,
Independent Group,North Devon,E07000043,,,,,,
South Molton Independent,North Devon,E07000043,,,,,,
Lincolnshire Independent Nk,North Kesteven,E07000139,PP733,Lincolnshire Independents Lincolnshire First,Political Party,Registered,Great Britain,19/12/08
Hykeham Independents,North Kesteven,E07000139,,,,,,
Bedlington Independents,Northumberland,E06000057,,,,,,
Oadby-Wigston Independent,Oadby and Wigston,E07000135,,,,,,
Werrington First,Peterborough,E06000031,PP4039,Werrington First,Political Party,Registered,Great Britain,14/03/16
Poole People & Independent Group,Poole,E06000029,PP886,The Party for Poole People Ltd.,Political Party,Registered,Great Britain,06/10/10
The Independent Group,Redcar and Cleveland,E06000003,,,,,,
Eston Independent,Redcar and Cleveland,E06000003,PP901,Eston Independent Party,Political Party,Registered,Great Britain,25/01/11
East Cleveland Independent,Redcar and Cleveland,E06000003,PP12,East Cleveland Independent,Political Party,Registered,Great Britain,25/02/99
Residents Association,Reigate and Banstead,E07000211,PP129,Whitnash Residents Association,Political Party,Registered,Great Britain,30/03/01
Democratic Conservatives,Ribble Valley,E07000124,,,,,,
The Independents,Richmondshire,E07000166,,,,,,
Putting Richmondshire First,Richmondshire,E07000166,,,,,,
Friends Of Rochford,Rochford,E07000075,PP6724,Friends Of Rochford,Political Party,Registered,Great Britain,05/03/18
Rochford District Residents,Rochford,E07000075,PP341,Rochford District Residents,Political Party,Registered,Great Britain,09/07/03
Rayleigh Independents,Rochford,E07000075,,,,,,
Community First,Rossendale,E07000125,PP751,Community First,Political Party,Registered,Great Britain,01/04/09
Association Of Independents,Rother,E07000064,,,,,,
Runnymede Independent Residents' Group,Runnymede,E07000212,PP205,Runnymede Independent Residents' Group,Political Party,Registered,Great Britain,29/10/01
The Independent Group,Rutland,E06000017,,,,,,
New Independent Group,Ryedale,E07000167,,,,,,
