Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Darley Avenue (44)-Temp(C)-slotB,Darley Avenue (44)-Humidity(%RH)-slotB,Darley Avenue (44)-NO2(ug/m3)-slotB,Darley Avenue (44)-O3(ug/m3)-slotB,Darley Avenue (44)-NO(ug/m3)-slotB,Darley Avenue (44)-PM1(ug/m3)-slotB,Darley Avenue (44)-PM2.5(ug/m3)-slotB,Darley Avenue (44)-PM10(ug/m3)-slotB,Darley Avenue (44)-Ambient temp(C)-slotB,Darley Avenue (44)-Ambient humidity(%RH)-slotB,Darley Avenue (44)-Ambient pressure(hPa)-slotB
"2021-03-01T00:00:10+00:00",1614556810,"2021-03-01T00:00:10+0000",4,85,31.21,11.44,18.03,34.2,34.2,46.78,5,88,1033.5
"2021-03-01T00:01:10+00:00",1614556870,"2021-03-01T00:01:10+0000",4,85,31.21,8.44,17.78,29.93,29.93,42.48,5,88,1033.6
"2021-03-01T00:02:10+00:00",1614556930,"2021-03-01T00:02:10+0000",4,85,30.77,7.04,2.3,27.79,27.79,40.33,5,87,1033.6
"2021-03-01T00:03:10+00:00",1614556990,"2021-03-01T00:03:10+0000",4,85,30.55,10.34,11.86,28.5,28.5,39.79,5,87,1033.6
"2021-03-01T00:04:10+00:00",1614557050,"2021-03-01T00:04:10+0000",4,85,30.11,10.94,14.4,32.06,32.06,45.17,5,87,1033.6
"2021-03-01T00:05:10+00:00",1614557110,"2021-03-01T00:05:10+0000",4,85,31.23,10.44,9.92,30.64,30.64,44.14,5,87,1033.6
"2021-03-01T00:06:10+00:00",1614557170,"2021-03-01T00:06:10+0000",4,85,30.78,5.54,18.63,26.36,26.36,40.37,5,87,1033.6
"2021-03-01T00:07:10+00:00",1614557230,"2021-03-01T00:07:10+0000",4,85,31.46,5.14,3.87,29.93,29.93,43.64,5,87,1033.6
"2021-03-01T00:08:10+00:00",1614557290,"2021-03-01T00:08:10+0000",4,85,30.96,9.24,3.53,29.93,29.93,40.98,5,87,1033.6
"2021-03-01T00:09:10+00:00",1614557350,"2021-03-01T00:09:10+0000",4,85,29.19,11.14,8.64,29.21,29.21,42.06,5,87,1033.6
"2021-03-01T00:10:10+00:00",1614557410,"2021-03-01T00:10:10+0000",4,85,28.82,9.99,9.19,27.79,27.79,41.02,5,87,1033.6
"2021-03-01T00:11:10+00:00",1614557470,"2021-03-01T00:11:10+0000",4,85,28.75,10.24,10.22,26.36,26.36,39.4,5,87,1033.6
"2021-03-01T00:12:10+00:00",1614557530,"2021-03-01T00:12:10+0000",4,85,28.38,10.34,5.93,26.36,26.36,39.94,5,87,1033.6
"2021-03-01T00:13:10+00:00",1614557590,"2021-03-01T00:13:10+0000",4,85,28.17,9.39,14.64,24.94,24.94,39.97,5,87,1033.6
"2021-03-01T00:14:10+00:00",1614557650,"2021-03-01T00:14:10+0000",4,85,27.66,9.49,6.21,25.65,25.65,38.35,5,87,1033.6
"2021-03-01T00:15:10+00:00",1614557710,"2021-03-01T00:15:10+0000",4,85,28.54,8.54,12.16,25.65,25.65,38.35,5,87,1033.6
"2021-03-01T00:16:10+00:00",1614557770,"2021-03-01T00:16:10+0000",4,85,28.77,9.24,14.1,25.65,25.65,38.35,5,87,1033.6
"2021-03-01T00:17:10+00:00",1614557830,"2021-03-01T00:17:10+0000",4,84,27.89,10.19,12.4,26.36,26.36,38.92,5,87,1033.6
"2021-03-01T00:18:10+00:00",1614557890,"2021-03-01T00:18:10+0000",4,84,27.89,9.94,0.01,29.21,29.21,41.63,5,87,1033.6
"2021-03-01T00:20:05+00:00",1614558005,"2021-03-01T00:20:05+0000",4,84,26.4,7.79,8.71,27.08,27.08,40.01,5,86,1033.6
"2021-03-01T00:21:05+00:00",1614558065,"2021-03-01T00:21:05+0000",4,84,26.86,7.44,8.23,29.93,29.93,42.75,5,87,1033.6
"2021-03-01T00:22:05+00:00",1614558125,"2021-03-01T00:22:05+0000",4,84,27.47,7.29,20.06,31.35,31.35,43.33,5,87,1033.6
