Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Darley Avenue (44)-Temp(C)-slotB,Darley Avenue (44)-Humidity(%RH)-slotB,Darley Avenue (44)-NO2(ug/m3)-slotB,Darley Avenue (44)-O3(ug/m3)-slotB,Darley Avenue (44)-NO(ug/m3)-slotB,Darley Avenue (44)-PM1(ug/m3)-slotB,Darley Avenue (44)-PM2.5(ug/m3)-slotB,Darley Avenue (44)-PM10(ug/m3)-slotB,Darley Avenue (44)-Ambient temp(C)-slotB,Darley Avenue (44)-Ambient humidity(%RH)-slotB,Darley Avenue (44)-Ambient pressure(hPa)-slotB
"2021-03-21T23:00:44+00:00",1616367644,"2021-03-21T23:00:44+0000",7,73,13.03,41.39,4.75,2.85,4.17,6.31,8,76,1026.6
"2021-03-21T23:01:44+00:00",1616367704,"2021-03-21T23:01:44+0000",7,73,13.25,43.34,4.75,3.56,4.17,6.31,8,76,1026.6
"2021-03-21T23:02:44+00:00",1616367764,"2021-03-21T23:02:44+0000",7,73,13.03,41.64,0,2.85,3.69,5.7,8,76,1026.5
"2021-03-21T23:03:44+00:00",1616367824,"2021-03-21T23:03:44+0000",7,73,13.25,40.84,8.58,2.85,4.17,6.92,8,76,1026.5
"2021-03-21T23:04:44+00:00",1616367884,"2021-03-21T23:04:44+0000",7,73,11.69,43.19,0,2.85,4.64,6.92,8,76,1026.5
"2021-03-21T23:05:44+00:00",1616367944,"2021-03-21T23:05:44+0000",7,73,11.47,42.49,0,3.56,4.16,6.31,8,76,1026.5
"2021-03-21T23:06:44+00:00",1616368004,"2021-03-21T23:06:44+0000",7,73,12.37,42.29,3.94,3.56,4.17,6.92,8,76,1026.5
"2021-03-21T23:07:44+00:00",1616368064,"2021-03-21T23:07:44+0000",7,73,11.7,42.19,2.3,3.56,4.65,6.92,8,76,1026.5
"2021-03-21T23:08:44+00:00",1616368124,"2021-03-21T23:08:44+0000",7,73,11.69,42.19,6.53,2.85,3.68,6.92,8,76,1026.5
"2021-03-21T23:09:44+00:00",1616368184,"2021-03-21T23:09:44+0000",7,73,11.25,41.79,5.57,2.85,3.68,5.7,8,76,1026.5
"2021-03-21T23:10:44+00:00",1616368244,"2021-03-21T23:10:44+0000",7,73,10.36,44.99,4.21,3.56,4.16,7.53,8,77,1026.5
