Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Darley Avenue (44)-Temp(C)-slotB,Darley Avenue (44)-Humidity(%RH)-slotB,Darley Avenue (44)-NO2(ug/m3)-slotB,Darley Avenue (44)-O3(ug/m3)-slotB,Darley Avenue (44)-NO(ug/m3)-slotB,Darley Avenue (44)-PM1(ug/m3)-slotB,Darley Avenue (44)-PM2.5(ug/m3)-slotB,Darley Avenue (44)-PM10(ug/m3)-slotB,Darley Avenue (44)-Ambient temp(C)-slotB,Darley Avenue (44)-Ambient humidity(%RH)-slotB,Darley Avenue (44)-Ambient pressure(hPa)-slotB
"2021-02-22T00:00:54+00:00",1613952054,"2021-02-22T00:00:54+0000",11,88,16.04,16.34,0,17.1,17.1,23.7,11,90,1007.5
"2021-02-22T00:01:54+00:00",1613952114,"2021-02-22T00:01:54+0000",11,88,16.26,15.79,6.1,16.39,16.39,21.62,11,90,1007.5
"2021-02-22T00:02:54+00:00",1613952174,"2021-02-22T00:02:54+0000",11,88,15.82,15.89,0,16.39,16.39,22.14,11,90,1007.6
"2021-02-22T00:03:54+00:00",1613952234,"2021-02-22T00:03:54+0000",11,88,15.66,16.69,2.13,16.39,16.39,23.18,11,91,1007.6
"2021-02-22T00:04:54+00:00",1613952294,"2021-02-22T00:04:54+0000",11,88,16.1,17.34,0,15.68,15.68,21.1,11,91,1007.6
"2021-02-22T00:05:54+00:00",1613952354,"2021-02-22T00:05:54+0000",11,88,16.55,17.24,0.6,17.1,17.1,23.18,11,91,1007.6
"2021-02-22T00:06:54+00:00",1613952414,"2021-02-22T00:06:54+0000",11,88,16.99,18.14,1.67,16.39,16.39,21.62,11,91,1007.6
"2021-02-22T00:07:54+00:00",1613952474,"2021-02-22T00:07:54+0000",11,88,16.26,18.54,3.34,16.39,16.39,23.18,11,90,1007.6
"2021-02-22T00:08:54+00:00",1613952534,"2021-02-22T00:08:54+0000",11,88,16.55,18.99,0,16.39,16.39,26.83,11,91,1007.6
"2021-02-22T00:09:54+00:00",1613952594,"2021-02-22T00:09:54+0000",11,88,16.33,19.54,0,16.39,16.39,25.27,11,91,1007.6
"2021-02-22T00:10:54+00:00",1613952654,"2021-02-22T00:10:54+0000",11,88,15.81,19.39,4.87,15.68,15.68,21.6,11,91,1007.6
"2021-02-22T00:11:54+00:00",1613952714,"2021-02-22T00:11:54+0000",11,88,16.25,18.04,0,15.68,15.68,22.64,11,91,1007.6
"2021-02-22T00:12:54+00:00",1613952774,"2021-02-22T00:12:54+0000",11,88,16.03,18.84,7.18,17.1,17.1,24.73,11,91,1007.6
"2021-02-22T00:13:54+00:00",1613952834,"2021-02-22T00:13:54+0000",11,88,15.43,19.49,0,16.39,16.39,21.6,11,90,1007.6
"2021-02-22T00:14:54+00:00",1613952894,"2021-02-22T00:14:54+0000",11,88,15.87,21.14,3.66,17.1,17.1,24.73,11,91,1007.6
"2021-02-22T00:15:54+00:00",1613952954,"2021-02-22T00:15:54+0000",11,88,15.87,21.89,6.57,17.81,17.81,24.21,11,91,1007.6
"2021-02-22T00:16:54+00:00",1613953014,"2021-02-22T00:16:54+0000",11,88,16.09,21.84,11.16,17.1,17.1,24.21,11,91,1007.6
"2021-02-22T00:17:54+00:00",1613953074,"2021-02-22T00:17:54+0000",11,88,16.09,19.59,0,16.39,16.39,22.64,11,91,1007.6
"2021-02-22T00:18:54+00:00",1613953134,"2021-02-22T00:18:54+0000",11,88,16.54,18.99,0,16.39,16.39,22.64,11,91,1007.6
"2021-02-22T00:19:54+00:00",1613953194,"2021-02-22T00:19:54+0000",11,88,16.31,19.04,3.81,17.1,17.1,23.69,11,91,1007.6
"2021-02-22T00:20:54+00:00",1613953254,"2021-02-22T00:20:54+0000",11,88,16.98,19.14,0,16.39,16.39,24.73,11,91,1007.6
"2021-02-22T00:21:54+00:00",1613953314,"2021-02-22T00:21:54+0000",11,88,17.42,18.79,0.6,17.1,17.1,23.69,11,91,1007.5
"2021-02-22T00:22:54+00:00",1613953374,"2021-02-22T00:22:54+0000",11,88,18.53,19.29,1.21,16.39,16.39,23.69,11,91,1007.6
"2021-02-22T00:23:54+00:00",1613953434,"2021-02-22T00:23:54+0000",11,88,18.53,17.79,3.2,16.39,16.39,24.73,11,91,1007.6
"2021-02-22T00:24:54+00:00",1613953494,"2021-02-22T00:24:54+0000",11,88,16.77,21.19,10.7,16.39,16.39,23.18,11,91,1007.6
"2021-02-22T00:25:54+00:00",1613953554,"2021-02-22T00:25:54+0000",11,88,17.88,22.94,2.9,16.39,16.39,23.7,11,91,1007.6
"2021-02-22T00:26:54+00:00",1613953614,"2021-02-22T00:26:54+0000",11,88,17.43,22.04,5.04,14.96,14.96,21.1,11,91,1007.6
"2021-02-22T00:27:54+00:00",1613953674,"2021-02-22T00:27:54+0000",11,88,16.99,23.64,6.57,14.25,14.25,20.05,11,91,1007.6
"2021-02-22T00:28:54+00:00",1613953734,"2021-02-22T00:28:54+0000",11,88,18.18,22.89,8.71,16.39,16.39,21.63,11,91,1007.6
"2021-02-22T00:29:54+00:00",1613953794,"2021-02-22T00:29:54+0000",11,88,17.95,25.94,0.17,15.68,15.68,22.16,11,91,1007.7
"2021-02-22T00:30:54+00:00",1613953854,"2021-02-22T00:30:54+0000",11,88,17.45,24.29,4.73,14.96,14.96,21.63,11,91,1007.7
"2021-02-22T00:31:54+00:00",1613953914,"2021-02-22T00:31:54+0000",11,88,15.74,26.94,9.63,14.96,14.96,20.59,11,91,1007.7
"2021-02-22T00:32:54+00:00",1613953974,"2021-02-22T00:32:54+0000",11,88,15.51,29.74,0.17,14.96,14.96,19.54,11,91,1007.7
"2021-02-22T00:33:54+00:00",1613954034,"2021-02-22T00:33:54+0000",11,88,15.29,26.79,11.3,14.96,14.96,19.54,11,91,1007.7
"2021-02-22T00:34:54+00:00",1613954094,"2021-02-22T00:34:54+0000",11,88,14.2,29.29,2.46,14.25,14.25,18.51,11,91,1007.7
"2021-02-22T00:35:54+00:00",1613954154,"2021-02-22T00:35:54+0000",11,87,13.32,28.74,5.05,14.25,14.25,18.52,11,91,1007.7
"2021-02-22T00:36:54+00:00",1613954214,"2021-02-22T00:36:54+0000",11,87,11.99,27.29,0,14.25,14.25,18,11,91,1007.7
"2021-02-22T00:37:54+00:00",1613954274,"2021-02-22T00:37:54+0000",11,87,13.32,29.74,7.19,14.25,14.25,18,11,90,1007.7
"2021-02-22T00:39:49+00:00",1613954389,"2021-02-22T00:39:49+0000",10,87,11.62,31.39,0,15.68,15.68,20.63,11,90,1007.7
"2021-02-22T00:40:49+00:00",1613954449,"2021-02-22T00:40:49+0000",11,87,12.67,30.64,0,14.25,14.25,18.54,11,90,1007.7
"2021-02-22T00:41:49+00:00",1613954509,"2021-02-22T00:41:49+0000",10,87,11.62,33.64,5.52,14.25,14.25,16.96,11,90,1007.7
"2021-02-22T00:42:49+00:00",1613954569,"2021-02-22T00:42:49+0000",10,87,10.51,36.64,4.3,13.54,13.54,18.01,11,91,1007.7
"2021-02-22T00:43:49+00:00",1613954629,"2021-02-22T00:43:49+0000",10,87,10.96,36.54,2.63,14.25,14.25,19.06,11,91,1007.7
"2021-02-22T00:44:49+00:00",1613954689,"2021-02-22T00:44:49+0000",10,87,10.74,35.84,12.06,14.25,14.25,18.01,11,91,1007.7
"2021-02-22T00:45:49+00:00",1613954749,"2021-02-22T00:45:49+0000",10,87,10.51,36.89,0,13.54,13.54,19.58,11,90,1007.7
"2021-02-22T00:46:49+00:00",1613954809,"2021-02-22T00:46:49+0000",10,87,9.85,39.79,4.61,12.83,12.83,19.06,11,91,1007.7
"2021-02-22T00:47:49+00:00",1613954869,"2021-02-22T00:47:49+0000",10,87,9.18,36.69,5.67,11.4,11.4,14.34,11,91,1007.7
"2021-02-22T00:48:49+00:00",1613954929,"2021-02-22T00:48:49+0000",10,87,9.63,38.34,8.26,13.54,13.54,17.49,11,91,1007.7
"2021-02-22T00:49:49+00:00",1613954989,"2021-02-22T00:49:49+0000",10,87,8.74,36.04,15.86,12.11,12.11,16.44,11,90,1007.7
"2021-02-22T00:50:49+00:00",1613955049,"2021-02-22T00:50:49+0000",10,87,9.19,40.19,0,13.54,13.54,18.55,11,91,1007.7
"2021-02-22T00:51:49+00:00",1613955109,"2021-02-22T00:51:49+0000",10,87,9.19,39.94,3.54,12.11,12.11,16.45,11,90,1007.7
"2021-02-22T00:52:49+00:00",1613955169,"2021-02-22T00:52:49+0000",10,87,8.97,41.24,4.3,11.4,11.4,15.93,11,90,1007.7
"2021-02-22T00:53:49+00:00",1613955229,"2021-02-22T00:53:49+0000",10,87,8.82,43.29,6.9,12.11,12.11,18.55,11,90,1007.7
"2021-02-22T00:54:49+00:00",1613955289,"2021-02-22T00:54:49+0000",10,87,8.59,44.59,8.87,10.69,10.69,15.4,11,90,1007.8
"2021-02-22T00:55:49+00:00",1613955349,"2021-02-22T00:55:49+0000",10,87,7.71,47.54,8.11,10.69,10.69,14.88,11,90,1007.7
"2021-02-22T00:56:49+00:00",1613955409,"2021-02-22T00:56:49+0000",10,87,7.05,43.69,0,8.55,8.55,13.31,11,90,1007.7
"2021-02-22T00:57:49+00:00",1613955469,"2021-02-22T00:57:49+0000",10,87,8.16,47.44,12.2,12.11,12.11,15.94,11,90,1007.7
"2021-02-22T00:58:49+00:00",1613955529,"2021-02-22T00:58:49+0000",10,87,7.72,44.79,0.99,9.98,9.98,13.31,11,90,1007.7
"2021-02-22T00:59:49+00:00",1613955589,"2021-02-22T00:59:49+0000",10,87,7.73,44.04,8.56,9.26,9.26,11.74,11,90,1007.7
"2021-02-22T01:00:49+00:00",1613955649,"2021-02-22T01:00:49+0000",10,87,7.29,46.89,4.32,9.26,9.26,13.32,11,90,1007.7
"2021-02-22T01:01:49+00:00",1613955709,"2021-02-22T01:01:49+0000",10,87,7.74,46.04,1.44,9.26,9.26,13.85,11,90,1007.7
"2021-02-22T01:02:49+00:00",1613955769,"2021-02-22T01:02:49+0000",10,87,7.08,49.94,0,9.26,9.26,13.32,11,90,1007.7
"2021-02-22T01:03:49+00:00",1613955829,"2021-02-22T01:03:49+0000",10,87,6.93,51.74,4.04,9.26,9.26,12.8,11,90,1007.7
"2021-02-22T01:04:49+00:00",1613955889,"2021-02-22T01:04:49+0000",10,87,6.49,52.09,0,9.98,9.98,13.33,11,89,1007.7
"2021-02-22T01:05:49+00:00",1613955949,"2021-02-22T01:05:49+0000",10,87,6.28,52.89,0,9.26,9.26,12.81,11,89,1007.6
"2021-02-22T01:06:49+00:00",1613956009,"2021-02-22T01:06:49+0000",10,87,5.83,53.74,14,8.55,8.55,11.23,11,89,1007.7
"2021-02-22T01:07:49+00:00",1613956069,"2021-02-22T01:07:49+0000",10,87,5.83,48.49,5.55,7.84,7.84,11.75,10,89,1007.6
