Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Darley Avenue (44)-Temp(C)-slotB,Darley Avenue (44)-Humidity(%RH)-slotB,Darley Avenue (44)-NO2(ug/m3)-slotB,Darley Avenue (44)-O3(ug/m3)-slotB,Darley Avenue (44)-NO(ug/m3)-slotB,Darley Avenue (44)-PM1(ug/m3)-slotB,Darley Avenue (44)-PM2.5(ug/m3)-slotB,Darley Avenue (44)-PM10(ug/m3)-slotB,Darley Avenue (44)-Ambient temp(C)-slotB,Darley Avenue (44)-Ambient humidity(%RH)-slotB,Darley Avenue (44)-Ambient pressure(hPa)-slotB
"2021-03-15T00:00:16+00:00",1615766416,"2021-03-15T00:00:16+0000",9,81,3.7,84.24,0,4.99,4.99,9.21,10,84,1012.9
"2021-03-15T00:01:16+00:00",1615766476,"2021-03-15T00:01:16+0000",9,81,3.7,83.74,5.72,4.28,5.29,10.33,10,84,1012.9
"2021-03-15T00:02:16+00:00",1615766536,"2021-03-15T00:02:16+0000",9,81,3.71,82.24,0.89,3.56,3.92,8.09,10,84,1012.9
"2021-03-15T00:03:16+00:00",1615766596,"2021-03-15T00:03:16+0000",9,81,3.49,79.54,0,4.28,4.38,9.21,10,84,1012.8
"2021-03-15T00:04:16+00:00",1615766656,"2021-03-15T00:04:16+0000",9,81,3.93,81.19,9.82,4.99,5.31,9.77,10,84,1012.8
"2021-03-15T00:05:16+00:00",1615766716,"2021-03-15T00:05:16+0000",9,81,3.71,81.99,0,4.99,4.99,8.65,10,84,1012.8
"2021-03-15T00:06:16+00:00",1615766776,"2021-03-15T00:06:16+0000",9,81,3.26,80.59,14.66,5.7,5.77,10.33,10,84,1012.8
"2021-03-15T00:07:16+00:00",1615766836,"2021-03-15T00:07:16+0000",9,81,3.94,77.44,3.23,4.99,5.32,10.34,10,84,1012.8
"2021-03-15T00:08:16+00:00",1615766896,"2021-03-15T00:08:16+0000",9,81,4.16,77.39,3.38,4.28,4.28,7.53,10,84,1012.8
"2021-03-15T00:09:16+00:00",1615766956,"2021-03-15T00:09:16+0000",9,81,3.5,79.29,4.69,4.99,5.32,9.21,10,84,1012.9
"2021-03-15T00:10:16+00:00",1615767016,"2021-03-15T00:10:16+0000",9,81,3.73,81.24,11.73,3.56,4.41,8.65,10,84,1012.9
"2021-03-15T00:11:16+00:00",1615767076,"2021-03-15T00:11:16+0000",9,81,3.73,81.99,4.11,4.28,4.41,8.65,10,84,1012.9
"2021-03-15T00:12:16+00:00",1615767136,"2021-03-15T00:12:16+0000",9,81,2.62,84.74,1.62,4.99,4.99,10.34,10,84,1012.9
"2021-03-15T00:13:16+00:00",1615767196,"2021-03-15T00:13:16+0000",9,81,3.06,83.14,0,5.7,5.7,10.9,10,84,1012.9
