Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,LocationGroup
Manchester City Council - Chorlton,Chorlton Place,2020,December,53,Friday,01 Jan 2021,,550,678,1228,550,678,1228,No Group
Manchester City Council - Chorlton,Chorlton Place,2020,December,53,Saturday,02 Jan 2021,,1203,1595,2798,1203,1595,2798,No Group
Manchester City Council - Chorlton,Chorlton Place,2020,December,53,Sunday,03 Jan 2021,,723,877,1600,723,877,1600,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,1,Monday,04 Jan 2021,,943,1054,1997,943,1054,1997,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,1,Tuesday,05 Jan 2021,,1129,1360,2489,1129,1360,2489,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,1,Wednesday,06 Jan 2021,,1104,1358,2462,1104,1358,2462,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,1,Thursday,07 Jan 2021,,836,922,1758,836,922,1758,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,1,Friday,08 Jan 2021,,1135,1301,2436,1135,1301,2436,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,1,Saturday,09 Jan 2021,,1312,1389,2701,1312,1389,2701,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,1,Sunday,10 Jan 2021,,732,788,1520,732,788,1520,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,2,Monday,11 Jan 2021,,757,915,1672,757,915,1672,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,2,Tuesday,12 Jan 2021,,1071,1326,2397,1071,1326,2397,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,2,Wednesday,13 Jan 2021,,828,950,1778,828,950,1778,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,2,Thursday,14 Jan 2021,,967,1046,2013,967,1046,2013,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,2,Friday,15 Jan 2021,,1044,1131,2175,1044,1131,2175,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,2,Saturday,16 Jan 2021,,1471,1458,2929,1471,1458,2929,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,2,Sunday,17 Jan 2021,,693,868,1561,693,868,1561,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,3,Monday,18 Jan 2021,,896,938,1834,896,938,1834,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,3,Tuesday,19 Jan 2021,,980,1067,2047,980,1067,2047,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,3,Wednesday,20 Jan 2021,,726,900,1626,726,900,1626,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,3,Thursday,21 Jan 2021,,960,1057,2017,960,1057,2017,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,3,Friday,22 Jan 2021,,1088,1188,2276,1088,1188,2276,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,3,Saturday,23 Jan 2021,,1465,1471,2936,1465,1471,2936,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,3,Sunday,24 Jan 2021,,687,732,1419,687,732,1419,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,4,Monday,25 Jan 2021,,840,929,1769,840,929,1769,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,4,Tuesday,26 Jan 2021,,846,954,1800,846,954,1800,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,4,Wednesday,27 Jan 2021,,956,1146,2102,956,1146,2102,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,4,Thursday,28 Jan 2021,,920,987,1907,920,987,1907,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,4,Friday,29 Jan 2021,,1169,1290,2459,1169,1290,2459,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,4,Saturday,30 Jan 2021,,1302,1328,2630,1302,1328,2630,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,January,4,Sunday,31 Jan 2021,,706,745,1451,706,745,1451,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,5,Monday,01 Feb 2021,,916,917,1833,916,917,1833,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,5,Tuesday,02 Feb 2021,,630,804,1434,630,804,1434,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,5,Wednesday,03 Feb 2021,,755,1004,1759,755,1004,1759,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,5,Thursday,04 Feb 2021,,930,1054,1984,930,1054,1984,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,5,Friday,05 Feb 2021,,1224,1435,2659,1224,1435,2659,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,5,Saturday,06 Feb 2021,,1549,1702,3251,1549,1702,3251,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,5,Sunday,07 Feb 2021,,635,689,1324,635,689,1324,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,6,Monday,08 Feb 2021,,860,972,1832,860,972,1832,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,6,Tuesday,09 Feb 2021,,910,983,1893,910,983,1893,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,6,Wednesday,10 Feb 2021,,946,976,1922,946,976,1922,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,6,Thursday,11 Feb 2021,,995,1105,2100,995,1105,2100,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,6,Friday,12 Feb 2021,,1224,1249,2473,1224,1249,2473,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,6,Saturday,13 Feb 2021,,1659,1592,3251,1659,1592,3251,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,6,Sunday,14 Feb 2021,,585,603,1188,585,603,1188,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,7,Monday,15 Feb 2021,,967,1003,1970,967,1003,1970,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,7,Tuesday,16 Feb 2021,,978,1162,2140,978,1162,2140,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,7,Wednesday,17 Feb 2021,,1040,1180,2220,1040,1180,2220,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,7,Thursday,18 Feb 2021,,969,1055,2024,969,1055,2024,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,7,Friday,19 Feb 2021,,1220,1237,2457,1220,1237,2457,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,7,Saturday,20 Feb 2021,,1639,1681,3320,1639,1681,3320,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,7,Sunday,21 Feb 2021,,698,746,1444,698,746,1444,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,8,Monday,22 Feb 2021,,993,1072,2065,993,1072,2065,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,8,Tuesday,23 Feb 2021,,912,997,1909,912,997,1909,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,8,Wednesday,24 Feb 2021,,1103,1163,2266,1103,1163,2266,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,8,Thursday,25 Feb 2021,,1550,2081,3631,1550,2081,3631,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,8,Friday,26 Feb 2021,,1862,2628,4490,1862,2628,4490,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,8,Saturday,27 Feb 2021,,2483,2913,5396,2483,2913,5396,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,February,8,Sunday,28 Feb 2021,,1489,1969,3458,1489,1969,3458,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,9,Monday,01 Mar 2021,,1809,2828,4637,1809,2828,4637,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,9,Tuesday,02 Mar 2021,,1870,2800,4670,1870,2800,4670,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,9,Wednesday,03 Mar 2021,,1047,1270,2317,1047,1270,2317,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,9,Thursday,04 Mar 2021,,1050,1115,2165,1050,1115,2165,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,9,Friday,05 Mar 2021,,1202,1231,2433,1202,1231,2433,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,9,Saturday,06 Mar 2021,,1891,1927,3818,1891,1927,3818,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,9,Sunday,07 Mar 2021,,698,802,1500,698,802,1500,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,10,Monday,08 Mar 2021,,958,1030,1988,958,1030,1988,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,10,Tuesday,09 Mar 2021,,1015,1210,2225,1015,1210,2225,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,10,Wednesday,10 Mar 2021,,1035,1130,2165,1035,1130,2165,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,10,Thursday,11 Mar 2021,,1211,1363,2574,1211,1363,2574,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,10,Friday,12 Mar 2021,,1423,1613,3036,1423,1613,3036,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,10,Saturday,13 Mar 2021,,1777,1775,3552,1777,1775,3552,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,10,Sunday,14 Mar 2021,,695,719,1414,695,719,1414,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,11,Monday,15 Mar 2021,,1234,1388,2622,1234,1388,2622,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,11,Tuesday,16 Mar 2021,,1356,1356,2712,1356,1356,2712,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,11,Wednesday,17 Mar 2021,,968,1086,2054,968,1086,2054,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,11,Thursday,18 Mar 2021,,1013,1096,2109,1013,1096,2109,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,11,Friday,19 Mar 2021,,1198,1296,2494,1198,1296,2494,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,11,Saturday,20 Mar 2021,,1373,1409,2782,1373,1409,2782,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,11,Sunday,21 Mar 2021,,685,664,1349,685,664,1349,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,12,Monday,22 Mar 2021,,959,1100,2059,959,1100,2059,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,12,Tuesday,23 Mar 2021,,1020,1029,2049,1020,1029,2049,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,12,Wednesday,24 Mar 2021,,1470,1790,3260,1470,1790,3260,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,12,Thursday,25 Mar 2021,,1279,1443,2722,1279,1443,2722,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,12,Friday,26 Mar 2021,,1414,1604,3018,1414,1604,3018,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,12,Saturday,27 Mar 2021,,1696,1779,3475,1696,1779,3475,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,12,Sunday,28 Mar 2021,,717,771,1488,717,771,1488,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,13,Monday,29 Mar 2021,,1145,1375,2520,1145,1375,2520,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,13,Tuesday,30 Mar 2021,,1471,1898,3369,1471,1898,3369,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,13,Wednesday,31 Mar 2021,,1459,1784,3243,1459,1784,3243,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,13,Thursday,01 Apr 2021,,1404,1504,2908,1404,1504,2908,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,13,Friday,02 Apr 2021,,1726,1924,3650,1726,1924,3650,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,13,Saturday,03 Apr 2021,,1899,2042,3941,1899,2042,3941,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,March,13,Sunday,04 Apr 2021,,708,862,1570,708,862,1570,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,April,14,Monday,05 Apr 2021,,1052,1232,2284,1052,1232,2284,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,April,14,Tuesday,06 Apr 2021,,1300,1408,2708,1300,1408,2708,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,April,14,Wednesday,07 Apr 2021,,1187,1337,2524,1187,1337,2524,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,April,14,Thursday,08 Apr 2021,,1095,1189,2284,1095,1189,2284,No Group
Manchester City Council - Chorlton,Chorlton Place,2021,April,14,Friday,09 Apr 2021,,1509,1662,3171,1509,1662,3171,No Group
