Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,LocationGroup
Manchester City Council - Chorlton,Chorlton Place,2018,April,17,Monday,23 Apr 2018,,1459,1672,3131,1459,1672,3131,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,April,17,Tuesday,24 Apr 2018,,1780,1943,3723,1780,1943,3723,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,April,17,Wednesday,25 Apr 2018,,1828,2137,3965,1828,2137,3965,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,April,17,Thursday,26 Apr 2018,,1784,2074,3858,1784,2074,3858,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,April,17,Friday,27 Apr 2018,,1359,1477,2836,1359,1477,2836,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,April,17,Saturday,28 Apr 2018,,2314,2655,4969,2314,2655,4969,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,April,17,Sunday,29 Apr 2018,,965,1122,2087,965,1122,2087,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,18,Monday,30 Apr 2018,,1552,1863,3415,1552,1863,3415,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,18,Tuesday,01 May 2018,,1643,1975,3618,1643,1975,3618,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,18,Wednesday,02 May 2018,,1819,2412,4231,1819,2412,4231,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,18,Thursday,03 May 2018,,1783,2093,3876,1783,2093,3876,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,18,Friday,04 May 2018,,1940,2259,4199,1940,2259,4199,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,18,Saturday,05 May 2018,,3051,3551,6602,3051,3551,6602,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,18,Sunday,06 May 2018,,1416,1684,3100,1416,1684,3100,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,19,Monday,07 May 2018,,1507,1653,3160,1507,1653,3160,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,19,Tuesday,08 May 2018,,1864,2162,4026,1864,2162,4026,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,19,Wednesday,09 May 2018,,1663,1890,3553,1663,1890,3553,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,19,Thursday,10 May 2018,,1958,2239,4197,1958,2239,4197,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,19,Friday,11 May 2018,,1893,2168,4061,1893,2168,4061,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,19,Saturday,12 May 2018,,2431,2776,5207,2431,2776,5207,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,19,Sunday,13 May 2018,,1430,1648,3078,1430,1648,3078,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,20,Monday,14 May 2018,,1875,2270,4145,1875,2270,4145,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,20,Tuesday,15 May 2018,,1838,2295,4133,1838,2295,4133,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,20,Wednesday,16 May 2018,,1662,1991,3653,1662,1991,3653,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,20,Thursday,17 May 2018,,1796,2155,3951,1796,2155,3951,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,20,Friday,18 May 2018,,2167,2406,4573,2167,2406,4573,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,20,Saturday,19 May 2018,,2631,2900,5531,2631,2900,5531,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,20,Sunday,20 May 2018,,1289,1492,2781,1289,1492,2781,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,21,Monday,21 May 2018,,1689,1918,3607,1689,1918,3607,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,21,Tuesday,22 May 2018,,1999,2308,4307,1999,2308,4307,No Group
Manchester City Council - Chorlton,Chorlton Place,2018,May,21,Wednesday,23 May 2018,,1895,2259,4154,1895,2259,4154,No Group
