Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,LocationGroup
Manchester City Council - Chorlton,Chorlton Place,2019,January,1,Tuesday,01 Jan 2019,,867,1221,2088,867,1221,2088,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,1,Wednesday,02 Jan 2019,,1497,1655,3152,1497,1655,3152,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,1,Thursday,03 Jan 2019,,1608,1835,3443,1608,1835,3443,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,1,Friday,04 Jan 2019,,1747,1995,3742,1747,1995,3742,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,1,Saturday,05 Jan 2019,,2080,2323,4403,2080,2323,4403,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,1,Sunday,06 Jan 2019,,861,1084,1945,861,1084,1945,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,2,Monday,07 Jan 2019,,1389,1572,2961,1389,1572,2961,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,2,Tuesday,08 Jan 2019,,2250,3615,5865,2250,3615,5865,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,2,Wednesday,09 Jan 2019,,1620,2167,3787,1620,2167,3787,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,2,Thursday,10 Jan 2019,,1391,1603,2994,1391,1603,2994,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,2,Friday,11 Jan 2019,,1692,1992,3684,1692,1992,3684,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,2,Saturday,12 Jan 2019,,2202,2778,4980,2202,2778,4980,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,2,Sunday,13 Jan 2019,,1119,1518,2637,1119,1518,2637,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,3,Monday,14 Jan 2019,,1439,1703,3142,1439,1703,3142,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,3,Tuesday,15 Jan 2019,,1664,1765,3429,1664,1765,3429,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,3,Wednesday,16 Jan 2019,,1179,2010,3189,1179,2010,3189,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,3,Thursday,17 Jan 2019,,1535,1739,3274,1535,1739,3274,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,3,Friday,18 Jan 2019,,1620,2124,3744,1620,2124,3744,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,3,Saturday,19 Jan 2019,,2389,2879,5268,2389,2879,5268,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,3,Sunday,20 Jan 2019,,1034,1279,2313,1034,1279,2313,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,4,Monday,21 Jan 2019,,1479,1843,3322,1479,1843,3322,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,4,Tuesday,22 Jan 2019,,1564,2027,3591,1564,2027,3591,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,4,Wednesday,23 Jan 2019,,1453,1862,3315,1453,1862,3315,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,4,Thursday,24 Jan 2019,,1490,1942,3432,1490,1942,3432,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,4,Friday,25 Jan 2019,,2256,2776,5032,2256,2776,5032,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,4,Saturday,26 Jan 2019,,2167,2568,4735,2167,2568,4735,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,January,4,Sunday,27 Jan 2019,,1143,1313,2456,1143,1313,2456,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,February,5,Monday,28 Jan 2019,,2219,3609,5828,2219,3609,5828,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,February,5,Tuesday,29 Jan 2019,,1605,1858,3463,1605,1858,3463,No Group
Manchester City Council - Chorlton,Chorlton Place,2019,February,5,Wednesday,30 Jan 2019,,1410,2006,3416,1410,2006,3416,No Group
