Date,Time,Direction,Bicycles,Buses,Cars,E-scooter,Lorries,Motorbike,Pedestrians,Taxis,Vans,Wheelchair
14.06.21,17:15,Southbound,3,0,8,1,0,0,10,0,1,0
14.06.21,17:30,Southbound,4,0,18,0,0,0,4,1,1,0
14.06.21,17:45,Southbound,1,0,9,0,0,0,1,1,0,0
14.06.21,18:00,Southbound,3,0,10,0,0,0,2,1,0,0
14.06.21,18:15,Southbound,1,0,6,0,0,0,1,0,1,0
14.06.21,18:30,Southbound,0,0,7,0,0,0,5,0,0,0
14.06.21,18:45,Southbound,4,0,4,0,0,0,6,0,0,0
14.06.21,07:00,Total,1,0,6,0,0,0,0,0,0,0
14.06.21,07:15,Total,1,0,7,0,0,0,14,0,1,0
14.06.21,07:30,Total,3,0,13,0,0,0,6,1,0,0
14.06.21,07:45,Total,3,0,14,0,1,0,21,1,1,0
14.06.21,08:00,Total,3,0,19,1,1,0,8,0,2,0
14.06.21,08:15,Total,6,0,35,0,1,0,5,6,1,0
14.06.21,08:30,Total,10,0,34,0,0,0,53,1,1,0
14.06.21,08:45,Total,12,0,22,0,1,0,87,1,6,0
14.06.21,09:00,Total,5,0,15,0,0,0,9,1,2,0
14.06.21,09:15,Total,2,1,12,0,0,0,7,1,5,0
14.06.21,09:30,Total,2,1,13,0,0,0,7,0,3,0
14.06.21,09:45,Total,1,0,7,0,0,0,12,0,5,0
14.06.21,10:00,Total,1,0,13,0,0,0,8,0,2,0
14.06.21,10:15,Total,0,1,15,0,0,0,7,1,4,0
14.06.21,10:30,Total,1,1,12,0,2,0,3,0,1,0
14.06.21,10:45,Total,0,0,9,0,0,0,4,0,3,0
14.06.21,11:00,Total,2,0,15,0,2,0,2,0,0,0
14.06.21,11:15,Total,0,1,16,0,1,1,6,1,3,0
14.06.21,11:30,Total,6,1,11,0,1,0,6,2,1,0
14.06.21,11:45,Total,6,0,20,0,2,0,14,2,6,0
14.06.21,12:00,Total,2,0,14,0,3,0,9,0,0,0
14.06.21,12:15,Total,3,1,14,0,0,0,4,1,0,0
14.06.21,12:30,Total,15,1,7,0,2,0,13,1,3,0
14.06.21,12:45,Total,4,0,13,0,3,0,8,0,3,0
14.06.21,13:00,Total,4,0,7,0,0,0,3,1,0,0
14.06.21,13:15,Total,4,1,10,0,1,0,8,0,3,0
14.06.21,13:30,Total,9,1,10,4,0,0,5,1,4,0
14.06.21,13:45,Total,5,0,11,1,1,0,0,1,5,0
14.06.21,14:00,Total,3,0,13,0,0,0,12,0,2,0
14.06.21,14:15,Total,1,1,17,0,1,0,5,3,1,1
14.06.21,14:30,Total,5,1,17,0,0,0,20,0,0,0
14.06.21,14:45,Total,12,0,32,0,0,0,43,2,0,0
14.06.21,15:00,Total,13,0,35,0,0,0,64,1,1,0
14.06.21,15:15,Total,6,0,16,0,1,0,12,0,1,0
14.06.21,15:30,Total,2,1,19,2,0,0,9,0,1,0
14.06.21,15:45,Total,9,0,15,1,0,2,9,2,2,0
14.06.21,16:00,Total,7,0,25,1,0,0,6,1,5,0
14.06.21,16:15,Total,1,0,16,0,0,0,5,0,5,0
14.06.21,16:30,Total,5,0,22,0,0,0,11,1,2,0
14.06.21,16:45,Total,8,1,29,0,1,0,12,0,3,0
14.06.21,17:00,Total,7,0,21,2,0,0,12,0,2,0
14.06.21,17:15,Total,7,0,23,1,0,0,10,0,2,0
14.06.21,17:30,Total,6,0,32,0,0,0,9,1,3,0
14.06.21,17:45,Total,1,0,19,0,0,0,7,2,1,0
14.06.21,18:00,Total,5,0,25,0,0,0,6,1,1,0
14.06.21,18:15,Total,5,0,23,0,0,0,8,0,2,0
14.06.21,18:30,Total,0,0,15,0,0,0,13,0,0,0
14.06.21,18:45,Total,4,0,9,0,0,0,6,0,0,0
14.06.21,ALL,ALL,218,14,817,13,25,3,608,37,99,1
